id,playerId,characterId,masteryPoints,wins,losses
54,2,1,202,19,3
4,4,5,0,0,1
52,15,7,310,7,5
102,23,2,60,2,9
115,28,7,80,2,2
94,18,10,60,16,24
90,21,10,45,4,7
30,8,7,425,13,7
56,8,4,95,5,6
91,21,6,40,5,2
2,4,3,40,1,7
119,24,2,180,7,0
31,9,1,40,1,0
59,8,3,170,6,11
51,15,1,0,0,1
45,3,7,160,16,6
123,26,3,0,0,1
103,23,8,60,2,1
143,16,5,55,2,2
129,18,3,295,19,22
32,9,3,0,0,1
33,9,7,40,1,0
26,5,6,115,19,23
82,21,8,155,6,6
53,2,9,-10,1,5
130,15,8,100,3,0
64,17,9,15,5,5
57,16,4,70,7,7
28,8,9,500,19,21
21,2,5,25,9,14
100,23,10,0,0,3
47,11,1,165,10,5
116,28,8,80,2,3
134,29,4,831,87,91
133,26,6,25,2,0
39,11,9,100,8,2
27,1,9,530,97,70
117,5,10,-20,0,2
18,6,5,550,26,25
6,6,1,498,21,15
40,13,6,120,2,3
139,17,10,20,2,1
46,14,6,200,3,0
98,16,1,300,11,5
78,20,1,200,5,1
11,1,2,896,110,75
74,20,9,0,0,1
3,3,4,501,63,41
48,11,3,10,1,2
69,17,8,0,1,1
104,23,9,-10,0,2
65,18,8,45,14,18
16,5,8,1498,105,80
131,26,1,75,3,1
7,4,1,220,6,4
136,2,8,45,7,8
25,7,9,40,1,4
118,28,6,0,0,1
5,5,1,365,29,28
13,1,6,840,104,58
55,15,6,0,0,2
89,21,9,198,8,10
135,16,7,170,11,10
24,2,6,190,11,2
83,17,7,240,16,6
111,26,2,1040,39,45
35,11,5,720,31,19
80,20,2,40,1,0
44,11,7,185,18,15
84,21,3,43,3,5
77,20,4,0,0,2
73,20,6,20,1,1
126,29,7,425,45,33
101,16,6,270,12,3
113,23,7,20,1,2
70,18,7,460,40,31
71,17,5,60,4,2
68,17,1,225,13,3
124,6,2,-30,2,7
1,3,1,65,6,5
81,18,9,108,11,15
20,1,4,600,79,56
120,26,5,0,0,1
76,18,2,265,21,16
19,5,5,346,32,42
38,12,6,883,36,21
106,16,9,125,9,8
138,22,6,20,1,1
10,3,6,155,17,10
36,11,6,105,7,6
42,12,3,10,2,1
125,3,2,25,6,4
61,6,6,5,5,5
41,3,5,-30,0,7
95,22,7,40,1,0
63,18,6,590,35,19
17,4,10,-20,0,3
144,3,9,-10,1,1
50,6,8,333,28,33
72,17,2,120,13,11
110,26,10,-20,0,3
142,12,4,30,5,7
127,12,2,-10,3,7
105,16,3,80,3,6
122,24,1,70,3,0
108,8,2,30,1,4
92,23,1,100,3,3
85,18,1,250,20,19
34,1,10,750,104,63
60,2,2,85,25,26
22,2,3,67,9,4
15,1,8,730,93,41
140,24,9,-30,0,2
109,25,1,180,11,9
62,17,6,260,16,7
97,16,2,135,7,4
137,16,8,50,2,1
9,6,7,182,29,31
96,24,3,195,5,8
49,6,10,-22,2,10
8,2,7,615,57,35
67,18,4,425,31,19
99,23,4,324,28,46
112,25,7,555,45,30
121,24,4,50,14,17
14,2,10,65,11,10
66,8,6,160,6,5
43,4,9,-10,1,7
79,21,2,218,10,3
93,18,5,130,11,16
58,8,10,-25,0,6
12,6,9,-80,1,7
86,21,7,110,5,6
37,12,8,95,6,9
88,17,4,63,9,9
141,24,10,-10,0,2
114,24,5,25,3,4
132,26,4,45,3,2
87,17,3,20,2,4
75,22,4,345,12,19
107,24,8,-10,0,2
23,1,5,510,80,60
313,61,12,900,94,49
206,45,3,20,1,0
179,33,3,40,1,1
222,45,7,35,2,1
199,25,3,-22,0,3
192,45,10,75,4,9
169,26,7,-10,1,1
150,19,3,0,0,1
149,5,3,20,1,1
276,40,11,90,8,10
152,31,7,0,0,1
188,4,6,40,1,1
283,29,11,785,69,48
158,26,9,-10,0,1
159,23,5,0,0,1
154,19,8,45,2,3
