id,threadId,ladderResetId,winnerId,winnerCharacterId,loserId,loserCharacterId,ranked,finishedAt
1,,1,1,1,2,2,,1743949725369
2,,1,3,1,4,3,,1743949956544
3,,1,3,4,4,5,,1743950160505
4,,1,2,2,1,1,,1743950246134
5,,1,3,4,5,1,,1743950784872
6,,1,1,1,2,6,,1743950863247
7,,1,3,4,5,1,,1743951041732
8,,1,1,1,2,6,,1743951200701
9,,1,5,1,3,4,,1743951543993
10,,1,3,1,6,1,,1743951869233
11,,1,4,1,2,7,,1743951998569
12,,1,1,2,5,8,,1743952049492
13,,1,6,7,3,6,,1743952454274
14,,1,1,1,5,8,,1743952616138
15,,1,3,4,2,7,,1743952904883
16,,1,1,1,5,8,,1743953112920
17,,1,3,4,6,1,,1743953349217
18,,1,1,2,3,4,,1743953696626
19,,1,2,7,5,8,,1743954064106
20,,1,1,2,3,4,,1743954242823
21,,1,5,8,2,2,,1743954664588
22,,1,3,4,1,2,,1743954820737
23,,1,1,2,6,9,,1743955146879
24,,1,5,8,2,2,,1743955222037
25,,1,3,4,1,6,,1743956144872
26,,1,2,10,6,1,,1743956219255
27,,1,6,1,2,7,,1743956496916
28,,1,3,4,1,8,,1743956637440
29,,1,2,7,6,1,,1743957012332
30,,1,3,4,5,8,,1743957065624
31,,1,1,2,4,10,,1743957320749
32,,1,3,4,5,8,,1743957567977
33,,1,2,7,6,5,,1743957828737
34,,1,3,4,5,1,,1743957924829
35,,1,1,2,4,6,,1743958121559
36,,1,5,5,2,7,,1743958495026
37,,1,1,2,6,7,,1743958768813
38,,1,2,7,5,5,,1743959190889
39,,1,2,7,1,4,,1743959850297
40,,1,1,6,2,5,,1743960324360
41,,1,2,3,1,5,,1743960770722
42,,1,1,5,2,5,,1743961307323
43,,1,2,6,7,9,,1743962031772
44,,1,5,6,1,2,,1743962136627
45,,1,2,7,1,9,,1743963099840
46,,1,1,6,8,9,,1743963675682
47,,1,1,1,8,7,,1743964173326
48,,1,8,7,1,8,,1743964817441
49,,1,9,1,1,5,,1743965983000
50,,1,1,4,9,3,,1743966850608
51,,1,1,10,9,9,,1743967469485
52,,1,10,1,11,9,,1743967517666
53,,1,9,7,1,10,,1743967878138
54,,1,11,5,1,5,,1743968679724
55,,1,11,6,1,2,,1743969552922
56,,1,3,4,12,6,,1743969924148
57,,1,1,8,11,6,,1743970093338
58,,1,3,1,12,8,,1743970361294
59,,1,3,4,12,8,,1743970630490
60,,1,12,8,3,4,,1743971156565
61,,1,11,6,4,3,,1743971425284
62,,1,12,6,3,4,,1743971587697
63,,1,3,4,12,8,,1743972061103
64,,1,11,9,4,3,,1743972306968
65,,1,11,5,4,2,,1743972431046
66,,1,12,6,5,8,,1743972497755
67,,1,12,6,5,8,,1743972930773
68,,1,3,4,13,6,,1743972942962
69,,1,11,6,4,3,,1743973336461
70,,1,3,4,13,6,,1743973427116
71,,1,12,6,4,3,,1743973758377
72,,1,11,6,5,1,,1743973941415
73,,1,12,8,4,3,,1743974141573
74,,1,1,6,3,5,,1743974247633
75,,1,5,1,11,6,,1743974535436
